slug,originalSlug,sourcePath,titleZh,exhibition,width,height,ratio,priorityScore,suggestedExhibition,inferredTags
artwork-c0446b382e,artwork-c0446b382e,E:\美图\手绘涂鸦风\4K\灰白色波波头少女.png,灰白色波波头少女,atelier-hours,2160,3840,0.56,78,Atelier Hours / 画室时刻,review
0,0,E:\美图\手绘涂鸦风\酒红色双马尾0.png,酒红色双马尾0,atelier-hours,941,1672,0.56,78,Atelier Hours / 画室时刻,muted-red
1-2,1,E:\美图\手绘涂鸦风\酒红色双马尾1.png,酒红色双马尾1,atelier-hours,941,1672,0.56,78,Atelier Hours / 画室时刻,muted-red
artwork-53c662d565,artwork-53c662d565,E:\美图\手绘涂鸦风\橘色短发波波头.png,橘色短发波波头,atelier-hours,941,1672,0.56,78,Atelier Hours / 画室时刻,review
artwork-9b6024e056,artwork-9b6024e056,E:\美图\手绘涂鸦风\蓝色长辫子头.png,蓝色长辫子头,atelier-hours,941,1672,0.56,78,Atelier Hours / 画室时刻,mist-blue
artwork-c22c035e0e,artwork-c22c035e0e,E:\美图\手绘涂鸦风\4K\莓果紫长卷发少女.png,莓果紫长卷发少女,atelier-hours,2160,3840,0.56,78,Atelier Hours / 画室时刻,review
artwork-8c7fd3b3b7,artwork-8c7fd3b3b7,E:\美图\手绘涂鸦风\4K\蜜桃粉双马尾少女.png,蜜桃粉双马尾少女,atelier-hours,2160,3840,0.56,78,Atelier Hours / 画室时刻,soft-pink
artwork-3fc4bf1840,artwork-3fc4bf1840,E:\美图\手绘涂鸦风\4K\墨绿色微卷短发少女.png,墨绿色微卷短发少女,atelier-hours,2160,3840,0.56,78,Atelier Hours / 画室时刻,soft-green
artwork-e3bb202e2c,artwork-e3bb202e2c,E:\美图\手绘涂鸦风\霓虹都市的冷静夜晚.png,霓虹都市的冷静夜晚,atelier-hours,941,1672,0.56,78,Atelier Hours / 画室时刻,night
artwork-3085402bc0,artwork-3085402bc0,E:\美图\手绘涂鸦风\霓虹之下的静谧时刻.png,霓虹之下的静谧时刻,atelier-hours,941,1672,0.56,78,Atelier Hours / 画室时刻,review
artwork-8ddfd7aa2d,artwork-8ddfd7aa2d,E:\美图\手绘涂鸦风\4K\浅紫色双丸子头少女.png,浅紫色双丸子头少女,atelier-hours,2160,3840,0.56,78,Atelier Hours / 画室时刻,review
artwork-652c7a9db4,artwork-652c7a9db4,E:\美图\手绘涂鸦风\夜街角与猫的深思.png,夜街角与猫的深思,atelier-hours,941,1672,0.56,78,Atelier Hours / 画室时刻,night
artwork-1cbcb5a58b,artwork-1cbcb5a58b,E:\美图\手绘涂鸦风\夜幕下的书店少女.png,夜幕下的书店少女,atelier-hours,941,1672,0.56,78,Atelier Hours / 画室时刻,night
artwork-5471cf9e5e,artwork-5471cf9e5e,E:\美图\手绘涂鸦风\4K\银白公主切长发少女.png,银白公主切长发少女,atelier-hours,2160,3840,0.56,78,Atelier Hours / 画室时刻,review
artwork-242ac51fb6,artwork-242ac51fb6,E:\美图\手绘涂鸦风\银灰色短发.png,银灰色短发,atelier-hours,941,1672,0.56,78,Atelier Hours / 画室时刻,review
artwork-31d7f2ff7a,artwork-31d7f2ff7a,E:\美图\手绘涂鸦风\4K\银灰色姬发式短发少女.png,银灰色姬发式短发少女,atelier-hours,2160,3840,0.56,78,Atelier Hours / 画室时刻,review
artwork-bd2d286453,artwork-bd2d286453,E:\美图\手绘涂鸦风\银蓝色齐刘海长发.png,银蓝色齐刘海长发,atelier-hours,941,1672,0.56,78,Atelier Hours / 画室时刻,mist-blue
artwork-b7b86a78ee,artwork-b7b86a78ee,E:\美图\手绘涂鸦风\月光下的书店街角.png,月光下的书店街角,atelier-hours,941,1672,0.56,78,Atelier Hours / 画室时刻,night
artwork-0dac2ffe13,artwork-0dac2ffe13,E:\美图\手绘涂鸦风\月影書房的夜晚夢境.png,月影書房的夜晚夢境,atelier-hours,941,1672,0.56,78,Atelier Hours / 画室时刻,night
artwork-3890ed7c1b,artwork-3890ed7c1b,E:\美图\手绘涂鸦风\紫色丸子头.png,紫色丸子头,atelier-hours,941,1672,0.56,78,Atelier Hours / 画室时刻,review
artwork-bf16bb46d5,artwork-bf16bb46d5,E:\美图\简约壁纸图\薄荷色天台·夏日云影.png,薄荷色天台·夏日云影,blue-rooms,941,1672,0.56,78,Blue Rooms / 蓝调房间,review
artwork-bbf5413868,artwork-bbf5413868,E:\美图\简约壁纸图\菜市场花摊·春日生活感.png,菜市场花摊·春日生活感,blue-rooms,941,1672,0.56,78,Blue Rooms / 蓝调房间,spring
artwork-0e87f1a32a,artwork-0e87f1a32a,E:\美图\简约壁纸图\窗边晨光少女.png,窗边晨光少女,blue-rooms,941,1672,0.56,78,Blue Rooms / 蓝调房间,morning
artwork-778a3d6a21,artwork-778a3d6a21,E:\美图\简约壁纸图\窗边与清晨微光.png,窗边与清晨微光,blue-rooms,941,1672,0.56,78,Blue Rooms / 蓝调房间,morning
artwork-46e2dcf270,artwork-46e2dcf270,E:\美图\简约壁纸图\绿荫公交站·午后蝉鸣.png,绿荫公交站·午后蝉鸣,blue-rooms,941,1672,0.56,78,Blue Rooms / 蓝调房间,soft-green
artwork-8c3a1c11ba,artwork-8c3a1c11ba,E:\美图\简约壁纸图\木桥尽头的风铃小屋.png,木桥尽头的风铃小屋,blue-rooms,941,1672,0.56,78,Blue Rooms / 蓝调房间,review
artwork-1dc4b291e3,artwork-1dc4b291e3,E:\美图\简约壁纸图\青绿色窗帘·午睡少女.png,青绿色窗帘·午睡少女,blue-rooms,941,1672,0.56,78,Blue Rooms / 蓝调房间,soft-green
artwork-8fb85f3fc5,artwork-8fb85f3fc5,E:\美图\简约壁纸图\青柠泳池·夏日午后.png,青柠泳池·夏日午后,blue-rooms,941,1672,0.56,78,Blue Rooms / 蓝调房间,review
artwork-9d331710f4,artwork-9d331710f4,E:\美图\站立\山间清晨的少女.png,山间清晨的少女,blue-rooms,2160,3840,0.56,78,Blue Rooms / 蓝调房间,morning
0-2,0,E:\美图\眼镜镜片反射\水族馆幽蓝反射版0.png,水族馆幽蓝反射版0,blue-rooms,941,1672,0.56,78,Blue Rooms / 蓝调房间,mist-blue
artwork-5917c9ea60,artwork-5917c9ea60,E:\美图\简约壁纸图\天空阶梯.png,天空阶梯,blue-rooms,941,1672,0.56,78,Blue Rooms / 蓝调房间,review
artwork-82e4fa2855,artwork-82e4fa2855,E:\美图\站立\天台晚风中的少女.png,天台晚风中的少女,blue-rooms,2160,3840,0.56,78,Blue Rooms / 蓝调房间,review
artwork-2035be5ecc,artwork-2035be5ecc,E:\美图\简约壁纸图\阳台晾晒白床单的午后.png,阳台晾晒白床单的午后,blue-rooms,941,1672,0.56,78,Blue Rooms / 蓝调房间,review
artwork-235ba36d2f,artwork-235ba36d2f,E:\美图\幻想图\白发红瞳少女.png,白发红瞳少女,distant-fables,941,1672,0.56,78,Distant Fables / 远方寓言,muted-red;fantasy
artwork-0debdfc4ff,artwork-0debdfc4ff,E:\美图\简约壁纸图\海边黄昏与提灯少女.png,海边黄昏与提灯少女,distant-fables,941,1672,0.56,78,Distant Fables / 远方寓言,dusk;amber
artwork-7da745db02,artwork-7da745db02,E:\美图\幻想图\黑发祭司少女.png,黑发祭司少女,distant-fables,941,1672,0.56,78,Distant Fables / 远方寓言,fantasy
artwork-2a77b70170,artwork-2a77b70170,E:\美图\简约壁纸图\夜空鲸影.png,夜空鲸影,distant-fables,941,1672,0.56,78,Distant Fables / 远方寓言,night;fantasy
artwork-369dfe70da,artwork-369dfe70da,E:\美图\简约壁纸图\奶油色花店门前的少女.png,奶油色花店门前的少女,glasshouse-dreams,941,1672,0.56,78,Glasshouse Dreams / 玻璃温室梦,review
artwork-3fc820ed0e,artwork-3fc820ed0e,E:\美图\街道撑伞\粉发雨后街道.png,粉发雨后街道,rain-archive,941,1672,0.56,78,Rain Archive / 雨的档案,rainy;soft-pink
0-3,0,E:\美图\街道撑伞\金0.png,金0,rain-archive,941,1672,0.56,78,Rain Archive / 雨的档案,review
1-3,1,E:\美图\街道撑伞\金1.png,金1,rain-archive,941,1672,0.56,78,Rain Archive / 雨的档案,review
artwork-39a8a2b2cb,artwork-39a8a2b2cb,E:\美图\街道撑伞\绿发雨后街道.png,绿发雨后街道,rain-archive,941,1672,0.56,78,Rain Archive / 雨的档案,rainy;soft-green
artwork-b50cd1915d,artwork-b50cd1915d,E:\美图\简约壁纸图\透明伞与单色雨线.png,透明伞与单色雨线,rain-archive,941,1672,0.56,78,Rain Archive / 雨的档案,rainy
artwork-98ac01011e,artwork-98ac01011e,E:\美图\街道撑伞\银发撑伞.png,银发撑伞,rain-archive,2160,3840,0.56,78,Rain Archive / 雨的档案,review
artwork-7e5ad0e951,artwork-7e5ad0e951,E:\美图\街道撑伞\银发浅蓝.png,银发浅蓝,rain-archive,941,1672,0.56,78,Rain Archive / 雨的档案,mist-blue
0-4,0,E:\美图\眼镜镜片反射\雨后彩虹街角版0.png,雨后彩虹街角版0,rain-archive,941,1672,0.56,78,Rain Archive / 雨的档案,rainy
1-4,1,E:\美图\眼镜镜片反射\雨后彩虹街角版1.png,雨后彩虹街角版1,rain-archive,941,1672,0.56,78,Rain Archive / 雨的档案,rainy
artwork-244b2434b2,artwork-244b2434b2,E:\美图\忧郁孤独\雨后窗边沉思.png,雨后窗边沉思,rain-archive,941,1672,0.56,78,Rain Archive / 雨的档案,rainy
artwork-b569729e0e,artwork-b569729e0e,E:\美图\简约壁纸图\雨后石阶与小黄伞.png,雨后石阶与小黄伞,rain-archive,941,1672,0.56,78,Rain Archive / 雨的档案,rainy
artwork-27fdc6e6ca,artwork-27fdc6e6ca,E:\美图\手绘涂鸦风\雨夜巴士站的思绪.png,雨夜巴士站的思绪,rain-archive,941,1672,0.56,78,Rain Archive / 雨的档案,rainy;night
artwork-6266822706,artwork-6266822706,E:\美图\手绘涂鸦风\雨夜告别与无人区.png,雨夜告别与无人区,rain-archive,941,1672,0.56,78,Rain Archive / 雨的档案,rainy;night
artwork-d9fbe87f22,artwork-d9fbe87f22,E:\美图\手绘涂鸦风\雨夜街头的温柔时光.png,雨夜街头的温柔时光,rain-archive,941,1672,0.56,78,Rain Archive / 雨的档案,rainy;night
artwork-0edf24688b,artwork-0edf24688b,E:\美图\眼镜镜片反射\雨夜霓虹反射版.png,雨夜霓虹反射版,rain-archive,941,1672,0.56,78,Rain Archive / 雨的档案,rainy;night
artwork-f499e52e01,artwork-f499e52e01,E:\美图\手绘涂鸦风\雨夜站牌上的孤独旅程.png,雨夜站牌上的孤独旅程,rain-archive,941,1672,0.56,78,Rain Archive / 雨的档案,rainy;night
artwork-33e4fcfa04,artwork-33e4fcfa04,E:\美图\简约壁纸图\冬日女孩.png,冬日女孩,seasonal-stations,941,1672,0.56,78,Seasonal Stations / 季节候车室,winter
artwork-d5b805c7fb,artwork-d5b805c7fb,E:\美图\站立\旧车站前的少女.png,旧车站前的少女,seasonal-stations,2160,3840,0.56,78,Seasonal Stations / 季节候车室,station
artwork-d93b2d3dad,artwork-d93b2d3dad,E:\美图\简约壁纸图\雪原尽头的列车站.png,雪原尽头的列车站,seasonal-stations,941,1672,0.56,78,Seasonal Stations / 季节候车室,winter;station
artwork-c4351b3629,artwork-c4351b3629,E:\美图\圆珠笔质感风格图\彼岸花流光.png,彼岸花流光,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
0-5,0,E:\美图\铅笔线稿图\潮汐耳语少女0.png,潮汐耳语少女0,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
artwork-28fcee205b,artwork-28fcee205b,E:\美图\铅笔线稿图\磁带噪音与落日重奏.png,磁带噪音与落日重奏,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
artwork-cda1abb468,artwork-cda1abb468,E:\美图\圆珠笔质感风格图\耳机与赛博微光.png,耳机与赛博微光,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier;fantasy
artwork-e8e044a150,artwork-e8e044a150,E:\美图\铅笔线稿图\阁楼投影仪 · 朦胧梦片感.png,阁楼投影仪 · 朦胧梦片感,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,room;atelier
artwork-a7251ba534,artwork-a7251ba534,E:\美图\铅笔线稿图\黄昏电车末班 · 漂浮记忆感.png,黄昏电车末班 · 漂浮记忆感,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,dusk;amber;atelier
0-6,0,E:\美图\铅笔线稿图\极昼冰铃少女0.png,极昼冰铃少女0,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
artwork-cf55e5243f,artwork-cf55e5243f,E:\美图\铅笔线稿图\旧唱片店角落 · 暖棕复古感.png,旧唱片店角落 · 暖棕复古感,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,amber;atelier
1-5,1,E:\美图\铅笔线稿图\旧梦唱片感1.png,旧梦唱片感1,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
2,2,E:\美图\铅笔线稿图\旧梦唱片感2.png,旧梦唱片感2,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
3,3,E:\美图\铅笔线稿图\旧梦唱片感3.png,旧梦唱片感3,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
4,4,E:\美图\铅笔线稿图\旧梦唱片感4.png,旧梦唱片感4,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
artwork-110050c301,artwork-110050c301,E:\美图\铅笔线稿图\清晨天台 · 风与留白感.png,清晨天台 · 风与留白感,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,morning;atelier
0-7,0,E:\美图\铅笔线稿图\森林菌光感0.png,森林菌光感0,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
artwork-c9b9d7237c,artwork-c9b9d7237c,E:\美图\圆珠笔质感风格图\少女与发光蝴蝶.png,少女与发光蝴蝶,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
artwork-4f35d68f98,artwork-4f35d68f98,E:\美图\圆珠笔质感风格图\少女与发光纸鹤.png,少女与发光纸鹤,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
artwork-a261a97f50,artwork-a261a97f50,E:\美图\圆珠笔质感风格图\少女与萤火星群.png,少女与萤火星群,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
artwork-18b71f559a,artwork-18b71f559a,E:\美图\圆珠笔质感风格图\深海鲸影.png,深海鲸影,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier;fantasy
0-8,0,E:\美图\铅笔线稿图\深海水母耳机少女0.png,深海水母耳机少女0,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
0-9,0,E:\美图\铅笔线稿图\深海微光感0.png,深海微光感0,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
1-6,1,E:\美图\铅笔线稿图\深海微光感1.png,深海微光感1,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
artwork-51d6e539a3,artwork-51d6e539a3,E:\美图\圆珠笔质感风格图\透明伞与暖光.png,透明伞与暖光,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,amber;atelier
artwork-b0a84b2e9b,artwork-b0a84b2e9b,E:\美图\铅笔线稿图\雾沼采光者.png,雾沼采光者,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
0-10,0,E:\美图\铅笔线稿图\星尘纸鹤少女0.png,星尘纸鹤少女0,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
1-7,1,E:\美图\铅笔线稿图\星尘纸鹤少女1.png,星尘纸鹤少女1,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
artwork-c42bea2005,artwork-c42bea2005,E:\美图\圆珠笔质感风格图\星光蝴蝶.png,星光蝴蝶,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
0-11,0,E:\美图\铅笔线稿图\星图缝线少女0.png,星图缝线少女0,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
1-8,1,E:\美图\铅笔线稿图\星图缝线少女1.png,星图缝线少女1,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
1-9,1,E:\美图\铅笔线稿图\月海水母少女1.png,月海水母少女1,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
artwork-2e43844aa5,artwork-2e43844aa5,E:\美图\铅笔线稿图\月下石洞与微光苔群.png,月下石洞与微光苔群,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
artwork-08d18cc461,artwork-08d18cc461,E:\美图\圆珠笔质感风格图\月相与星尘.png,月相与星尘,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
artwork-69b1eba9a4,artwork-69b1eba9a4,E:\美图\圆珠笔质感风格图\长发少女与花朵能量场.png,长发少女与花朵能量场,atelier-hours,941,1672,0.56,73,Atelier Hours / 画室时刻,atelier
artwork-889ef50a6f,artwork-889ef50a6f,E:\美图\手机壁纸\粉发教室窗边.png,粉发教室窗边,blue-rooms,941,1672,0.56,73,Blue Rooms / 蓝调房间,soft-pink
3-2,3,E:\美图\手机壁纸\蓝3.png,蓝3,blue-rooms,941,1672,0.56,73,Blue Rooms / 蓝调房间,mist-blue
4-2,4,E:\美图\手机壁纸\蓝4.png,蓝4,blue-rooms,941,1672,0.56,73,Blue Rooms / 蓝调房间,mist-blue
artwork-2a5e3b97b8,artwork-2a5e3b97b8,E:\美图\手机壁纸\蓝发等列车.png,蓝发等列车,blue-rooms,941,1672,0.56,73,Blue Rooms / 蓝调房间,mist-blue;station
artwork-4cd921afea,artwork-4cd921afea,E:\美图\手机壁纸\蓝发电车.png,蓝发电车,blue-rooms,941,1672,0.56,73,Blue Rooms / 蓝调房间,mist-blue
artwork-9dc78a0233,artwork-9dc78a0233,E:\美图\手机壁纸\蓝发街道.png,蓝发街道,blue-rooms,2160,3840,0.56,73,Blue Rooms / 蓝调房间,mist-blue
artwork-fa81b24635,artwork-fa81b24635,E:\美图\手机壁纸\浅蓝短发列车.png,浅蓝短发列车,blue-rooms,941,1672,0.56,73,Blue Rooms / 蓝调房间,mist-blue;station
artwork-5b43f655af,artwork-5b43f655af,E:\美图\手机壁纸\竹林风铃·清晨绿意.png,竹林风铃·清晨绿意,blue-rooms,941,1672,0.56,73,Blue Rooms / 蓝调房间,morning;soft-green
artwork-bdaf095ac8,artwork-bdaf095ac8,E:\美图\手机壁纸\紫发天台.png,紫发天台,blue-rooms,941,1672,0.56,73,Blue Rooms / 蓝调房间,review
artwork-041aa7f1d0,artwork-041aa7f1d0,E:\美图\动漫幻想图\橙粉霓虹·粉发少女.png,橙粉霓虹·粉发少女,distant-fables,940,1672,0.56,73,Distant Fables / 远方寓言,soft-pink;amber;fantasy
artwork-8a4f5a9a40,artwork-8a4f5a9a40,E:\美图\动漫幻想图\地下乐队·蓝紫灯光少女.png,地下乐队·蓝紫灯光少女,distant-fables,940,1672,0.56,73,Distant Fables / 远方寓言,mist-blue;fantasy
artwork-c8da911923,artwork-c8da911923,E:\美图\动漫幻想图\复古水彩风格.png,复古水彩风格,distant-fables,2160,3840,0.56,73,Distant Fables / 远方寓言,fantasy
artwork-04ccbe38c1,artwork-04ccbe38c1,E:\美图\动漫幻想图\古董书店的午后慵懒.png,古董书店的午后慵懒,distant-fables,941,1672,0.56,73,Distant Fables / 远方寓言,fantasy
artwork-f6da261cf8,artwork-f6da261cf8,E:\美图\动漫幻想图\海蓝水母.png,海蓝水母,distant-fables,941,1672,0.56,73,Distant Fables / 远方寓言,mist-blue;fantasy
